01. The [noun] [verb] the [adjective] [noun]. | nouns:2, verbs:1, adjectives:1
02. A [adjective] [noun] [verb] in the [noun]. | nouns:2, verbs:1, adjectives:1
03. [noun] often [verb] when the [adjective] [noun] appears. | nouns:2, verbs:1, adjectives:1
04. In the [adjective] , the [noun] [verb] a [noun]. | nouns:2, verbs:1, adjectives:1
05. The [noun] quickly [verb] the [noun]. | nouns:2, verbs:1, adjectives:0
06. When the [noun] [verb], the [adjective] [noun] [verb] too. | nouns:2, verbs:2, adjectives:1
07. It is [adjective] to [verb] a [noun] in the [noun]. | nouns:2, verbs:1, adjectives:1
08. Without a [noun], the [adjective] [noun] will [verb]. | nouns:2, verbs:1, adjectives:1
09. Suddenly, a [noun] [verb] under the [adjective] [noun]. | nouns:2, verbs:1, adjectives:1
10. The [adjective] [noun] was [verb] all night. | nouns:1, verbs:1, adjectives:1
11. Why did the [noun] [verb] that [adjective] [noun]? | nouns:2, verbs:1, adjectives:1
12. A [noun] and a [noun] [verb] in the [adjective] garden. | nouns:2, verbs:1, adjectives:1
13. The [noun] [verb] while the [noun] [verb]. | nouns:2, verbs:2, adjectives:0
14. Between the [noun], the [adjective] [noun] [verb]. | nouns:2, verbs:1, adjectives:1
15. Every [noun] [verb] in a [adjective] way. | nouns:1, verbs:1, adjectives:1
16. No [adjective] [noun] should ever [verb] a [noun]. | nouns:2, verbs:1, adjectives:1
17. Where the [noun] [verb], the [adjective] [noun] follows. | nouns:2, verbs:1, adjectives:1
18. After [verb] the [noun], the [adjective] [noun]. | nouns:2, verbs:1, adjectives:1
19. A [noun] by the [noun] [verb] [adverb]. | nouns:2, verbs:1, adjectives:0
20. Though [adjective], the [noun] still [verb] bravely. | nouns:1, verbs:1, adjectives:1
21. Can the [noun] [verb] the [noun] with [adjective] precision? | nouns:2, verbs:1, adjectives:1
22. The [adjective] [noun]  to [verb] the [noun]. | nouns:2, verbs:1, adjectives:1
23. [adjective] [noun] never [verb] without a [noun]. | nouns:2, verbs:1, adjectives:1
24. Once, a [noun] [verb] a [noun] under the [adjective] moon. | nouns:2, verbs:1, adjectives:1
25. The [noun] [verb] beside a [adjective] [noun] daily. | nouns:2, verbs:1, adjectives:1
26. Who let the [adjective] [noun] [verb] across the [noun]? | nouns:2, verbs:1, adjectives:1
27. A [noun] and an [adjective] [noun] [verb] softly. | nouns:2, verbs:1, adjectives:1
28. Every time the [noun] [verb], a [noun] [verb] too. | nouns:2, verbs:2, adjectives:0
29. Never [verb] a [adjective] [noun] on a [noun]. | nouns:2, verbs:1, adjectives:1
30. The [noun] [adverb] [verb] with the [adjective] [noun]. | nouns:2, verbs:1, adjectives:1
31. After the [noun] [verb], a [noun] [verb] too. | nouns:2, verbs:2, adjectives:0
32. By [verb] the [noun], the [adjective] [noun] . | nouns:2, verbs:1, adjectives:1
33. A [adjective] [noun] [verb] because the [noun] [verb]. | nouns:2, verbs:2, adjectives:1
34. Sometimes a [noun] must [verb] the [adjective] [noun]. | nouns:2, verbs:1, adjectives:1
35. Each [noun] [verb] differently  a [adjective] storm. | nouns:1, verbs:1, adjectives:1
36. [adjective] [noun] [verb] better in groups of [noun]. | nouns:2, verbs:1, adjectives:1
37. As the [noun] [verb], the [noun] [verb] back. | nouns:2, verbs:2, adjectives:0
38. The [noun] [verb] the [noun] with [adjective] elegance. | nouns:2, verbs:1, adjectives:1
